Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Man_Of_Match
2018-03-10,3.0,Colombo,"R.Premadasa Stadium, Khettarama",2017,Nidahas Trophy,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Bangladesh,,,5.0,Mushfiqur Rahim
2018-03-12,4.0,Colombo,"R.Premadasa Stadium, Khettarama",2017,Nidahas Trophy,T20,20,"Sri Lanka, India",Sri Lanka,India,international,India,field,India,,,6.0,SN Thakur
2018-03-14,5.0,Colombo,"R.Premadasa Stadium, Khettarama",2017,Nidahas Trophy,T20,20,"India, Bangladesh",India,Bangladesh,international,Bangladesh,field,India,,17.0,,RG Sharma
2018-03-16,6.0,Colombo,"R.Premadasa Stadium, Khettarama",2017,Nidahas Trophy,T20,20,"Sri Lanka, Bangladesh",Sri Lanka,Bangladesh,international,Bangladesh,field,Bangladesh,,,2.0,Mahmudullah
2018-03-18,,Colombo,"R.Premadasa Stadium, Khettarama",2017,Nidahas Trophy,T20,20,"Bangladesh, India",Bangladesh,India,international,India,field,India,,,4.0,KD Karthik
2018-03-14,1.0,Mount Maunganui,Bay Oval,2017,West Indies Women tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,8.0,,KJ Martin
2018-03-16,2.0,Mount Maunganui,Bay Oval,2017,West Indies Women tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,106.0,,AE Satterthwaite
2018-03-20,3.0,New Plymouth,Pukekura Park,2017,West Indies Women tour of New Zealand,T20,20,"New Zealand, West Indies",New Zealand,West Indies,international,West Indies,field,New Zealand,,1.0,,HK Matthews
2018-03-25,5.0,Hamilton,Seddon Park,2017,West Indies Women tour of New Zealand,T20,20,"West Indies, New Zealand",West Indies,New Zealand,international,New Zealand,field,New Zealand,,,7.0,KJ Martin
2018-03-28,1.0,Colombo,Sinhalese Sports Club Ground,2017,Pakistan Women tour of Sri Lanka,T20,20,"Sri Lanka, Pakistan",Sri Lanka,Pakistan,international,Pakistan,field,Pakistan,,,1.0,Javeria Khan
2018-03-30,2.0,Colombo,Nondescripts Cricket Club Ground,2017,Pakistan Women tour of Sri Lanka,T20,20,"Pakistan, Sri Lanka",Pakistan,Sri Lanka,international,Pakistan,bat,Sri Lanka,,,7.0,HASD Siriwardene
2018-04-01,1.0,Karachi,National Stadium,2018,West Indies tour of Pakistan,T20,20,"Pakistan, West Indies",Pakistan,West Indies,international,West Indies,field,Pakistan,,143.0,,Hussain Talat
